SPEED,ACCELERATION,ALTITUDE,CLASS
3.33,0.2,-0.3,HHD
4.0392,0.2,-0.2,HHD
4.7916,0.2,-0.2,HHD
5.5944,0.2,-0.1,HHD
6.372,0.2,0.1,HHD
7.1496,0.2,0.8,HHD
8.0352,0.2,0.2,HHD
8.7516,0.2,0,HHD
9.3024,0.2,0.1,HHD
9.8316,0.1,-0.1,HHD
10.062,0.1,-0.1,HHD
10.2348,0,0.1,HHD
10.4292,0.1,0.1,HHD
10.5228,0,0.2,HHD
10.62,0,0.2,HHD
10.6344,0,0.5,HHD
10.3932,-0.1,-0.3,HHD
10.224,0,-0.6,HHD
10.116,0,-0.5,HHD
10.0044,0,0.3,HHD
9.9756,0,0.8,HHD
9.8928,0,0.8,HHD
9.6408,-0.1,0.2,HHD
9.4896,0,0.8,HHD
9.3312,0,-0.2,HHD
9.3204,0,0.1,HHD
9.5112,0.1,0.1,HHD
9.6516,0,0.2,HHD
9.7452,0,-0.3,HHD
9.8532,0,0,HHD
9.9684,0,-0.2,HHD
10.1556,0.1,0.3,HHD
10.4508,0.1,-0.4,HHD
10.6344,0.1,-0.5,HHD
10.6596,0,0,HHD
10.4904,0,-0.4,HHD
10.2528,-0.1,-0.3,HHD
10.0044,-0.1,-0.3,HHD
9.792,-0.1,-0.1,HHD
9.7056,0,0.5,HHD
9.432,-0.1,0.3,HHD
9.2988,0,0,HHD
9.144,0,-0.4,HHD
9.1512,0,-0.5,HHD
9.2808,0,0.1,HHD
9.4032,0,-0.4,HHD
9.5508,0,0.1,HHD
9.8496,0.1,0,HHD
10.0404,0.1,-0.2,HHD
10.1664,0,-0.1,HHD
10.5408,0.1,-0.1,HHD
10.7964,0.1,-0.2,HHD
11.0844,0.1,-0.1,HHD
11.178,0,0.3,HHD
11.3652,0.1,0.8,HHD
11.484,0,-0.1,HHD
11.6352,0,0.8,HHD
11.6676,0,1.1,HHD
11.8368,0,0.2,HHD
11.8764,0,1.6,HHD
11.8836,0,0.4,HHD
11.934,0,0.9,HHD
12.006,0,0.1,HHD
12.0708,0,0.3,HHD
12.0456,0,0,HHD
12.2112,0,-0.4,HHD
12.1968,0,1,HHD
12.132,0,-0.2,HHD
12.0744,0,-0.6,HHD
12.0024,0,-0.7,HHD
11.7792,-0.1,-0.1,HHD
11.5272,-0.1,-0.1,HHD
11.1096,-0.1,-0.2,HHD
10.9332,0,-0.2,HHD
10.8828,0,-0.8,HHD
10.7028,-0.1,-1.6,HHD
10.674,0,-1.2,HHD
10.8432,0,-1.2,HHD
10.8612,0,-0.1,HHD
10.9332,0,-0.7,HHD
11.2572,0.1,-0.8,HHD
11.5128,0.1,-0.8,HHD
11.7576,0.1,-0.6,HHD
11.9052,0,-0.4,HHD
12.0924,0.1,-0.2,HHD
12.4488,0.1,0,HHD
12.6468,0.1,-0.2,HHD
12.7296,0,0.9,HHD
12.8772,0,0.7,HHD
13.1904,0.1,0,HHD
13.2948,0,0.2,HHD
13.374,0,0.5,HHD
13.518,0,0.2,HHD
13.6224,0,-0.1,HHD
13.5756,0,0.1,HHD
13.5216,0,0.4,HHD
13.518,0,0.1,HHD
13.4316,0,0.1,HHD
13.2696,0,0.2,HHD
12.9888,-0.1,-0.2,HHD
12.726,-0.1,-0.2,HHD
12.582,0,0.2,HHD
12.4524,0,-0.1,HHD
12.2292,-0.1,-0.1,HHD
12.0384,-0.1,0,HHD
11.8152,-0.1,-0.1,HHD
11.6352,0,-0.4,HHD
11.5812,0,-0.2,HHD
11.538,0,0,HHD
11.4372,0,-0.1,HHD
11.3688,0,0.2,HHD
11.2176,0,0.1,HHD
11.1024,0,0,HHD
11.0592,0,0.7,HHD
10.9656,0,0.3,HHD
10.89,0,1,HHD
10.7856,0,0.9,HHD
10.5804,-0.1,0.5,HHD
10.3464,-0.1,0.4,HHD
10.1772,0,-0.4,HHD
9.9468,-0.1,-0.4,HHD
9.7416,-0.1,-0.3,HHD
9.576,0,-0.3,HHD
9.3348,-0.1,-0.2,HHD
9.0936,-0.1,-0.1,HHD
8.8236,-0.1,-0.7,HHD
8.6004,-0.1,0.1,HHD
8.4276,0,-0.4,HHD
8.3808,0,0.8,HHD
8.316,0,-0.4,HHD
8.316,0,-0.1,HHD
8.388,0,-0.4,HHD
8.298,0,-0.4,HHD
8.2368,0,-0.4,HHD
8.1108,0,-0.2,HHD
8.0568,0,-0.1,HHD
8.0316,0,-0.2,HHD
7.9308,0,0.1,HHD
7.6968,-0.1,1.3,HHD
7.4772,-0.1,0.6,HHD
7.1964,-0.1,1,HHD
6.9948,-0.1,0.8,HHD
6.8976,0,0.5,HHD
6.7896,0,1.1,HHD
6.6744,0,0.8,HHD
6.6204,0,0.3,HHD
6.4944,0,0.3,HHD
6.588,0,0.8,HHD
6.894,0.1,0.4,HHD
7.1316,0.1,0.2,HHD
7.4556,0.1,0.2,HHD
7.6608,0.1,0.3,HHD
8.0136,0.1,0.3,HHD
8.442,0.1,1.1,HHD
